StockCode,Description,Category,Revenue,Units,Profit,Margin%
SKU-1017,Himalayan Salt Lamp,Home Decor,570784.11,13979,417015.11,73.06
SKU-1009,Aromatherapy Diffuser,Home Decor,532707.74,14026,364395.74,68.4
SKU-1014,Copper Water Jug,Kitchenware,483897.36,14564,352821.36,72.91
SKU-1010,Wooden Serving Tray,Kitchenware,390429.27,14693,287578.27,73.66
SKU-1015,Jute Storage Basket,Home Decor,342584.48,14427,248808.98,72.63
SKU-1004,Linen Throw Pillow,Home Decor,337471.76,15444,247896.56,73.46
SKU-1019,Herb Growing Kit,Garden,293109.62,14048,215845.62,73.64
SKU-1020,Cork Yoga Block,Fitness,272079.72,14328,211902.12,77.88
SKU-1003,Bamboo Cutting Board,Kitchenware,268925.29,14891,201915.79,75.08
SKU-1006,Stainless Steel Flask,Lifestyle,234281.45,14515,180575.95,77.08
